DATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TMAX,TMIN
1942-07-02,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,22.2,17.2
1942-07-03,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.7,16.7
1942-07-04,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,28.3,16.7
1942-07-05,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.7,16.7
1942-07-06,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.7,15.0
1942-07-07,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,22.2,10.6
1942-07-08,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,22.8,9.4
1942-07-09,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,23.3,8.3
1942-07-10,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,20.0,7.8
1942-07-11,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,19.4,14.4
1942-07-12,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.1,12.2
1942-07-13,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,29.4,12.2
1942-07-14,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,30.0,17.8
1942-07-15,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,23.3,11.7
1942-07-16,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,23.3,8.3
1942-07-17,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,22.8,12.2
1942-07-18,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,21.1,15.6
1942-07-19,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,32.8,17.8
1942-07-20,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,30.0,19.4
1942-07-21,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,28.3,17.2
1942-07-22,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.1,15.6
1942-07-23,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.7,13.3
1942-07-24,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,28.9,12.2
1942-07-25,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,30.0,16.7
1942-07-26,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.1,20.0
1942-07-27,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,21.1,15.0
1942-07-28,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,27.8,16.1
1942-07-29,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,29.4,16.7
1942-07-30,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,20.0,15.0
1942-07-31,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,22.2,11.7
1942-08-01,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,27.8,15.0
1942-08-02,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,25.0,12.8
1942-08-03,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.1,16.1
1942-08-04,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,24.4,9.4
1942-08-05,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,21.7,7.2
1942-08-06,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,21.7,8.3
1942-08-07,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,25.0,8.9
1942-08-08,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.1,9.4
1942-08-09,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,20.6,13.3
1942-08-10,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,21.7,13.9
1942-08-11,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,27.2,14.4
1942-08-12,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.7,13.9
1942-08-13,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,22.8,17.2
1942-08-14,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,24.4,17.8
1942-08-15,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,28.3,18.9
1942-08-16,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,27.2,21.7
1942-08-17,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,29.4,20.0
1942-08-18,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,25.0,15.0
1942-08-19,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.1,12.2
1942-08-20,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,27.8,13.9
1942-08-21,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,30.0,18.3
1942-08-22,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,30.6,18.9
1942-08-23,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,24.4,17.8
1942-08-24,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,18.3,11.7
1942-08-25,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,19.4,6.1
1942-08-26,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,21.7,5.6
1942-08-27,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,23.9,6.1
1942-08-28,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,23.9,11.7
1942-08-29,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,21.1,14.4
1942-08-30,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,24.4,11.7
1942-08-31,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,28.9,9.4
1942-09-01,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,30.6,11.1
1942-09-02,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,30.6,12.2
1942-09-03,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.1,13.3
1942-09-04,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,17.8,13.3
1942-09-05,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,21.7,9.4
1942-09-06,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,19.4,3.9
1942-09-07,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,23.3,3.9
1942-09-08,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,23.9,12.2
1942-09-09,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,15.0,10.6
1942-09-10,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,22.2,10.6
1942-09-11,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,18.9,13.3
1942-09-12,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,18.3,12.8
1942-09-13,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,23.9,14.4
1942-09-14,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,23.3,8.9
1942-09-15,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,29.4,10.6
1942-09-16,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,28.3,19.4
1942-09-17,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,30.6,14.4
1942-09-18,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,27.2,16.7
1942-09-19,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,26.1,14.4
1942-09-20,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,20.6,10.0
1942-09-21,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,16.1,6.1
1942-09-22,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,20.6,7.8
1942-09-23,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,18.9,7.2
1942-09-24,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,20.6,6.7
1942-09-25,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,16.1,2.8
1942-09-26,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,17.2,5.0
1942-09-27,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,20.6,11.1
1942-09-28,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,15.6,2.8
1942-09-29,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,11.7,-2.8
1942-09-30,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,15.6,0.0
1942-10-01,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,16.7,2.2
1942-10-02,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,14.4,1.7
1942-10-03,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,15.0,1.1
1942-10-04,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,16.1,1.1
1942-10-05,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,17.8,10.0
1942-10-06,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,16.1,9.4
1942-10-07,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,17.8,2.2
1942-10-08,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,18.9,3.3
1942-10-09,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,22.2,6.7
1942-10-10,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,18.3,8.3
1942-10-11,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,18.9,1.7
1942-10-12,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,15.6,4.4
1942-10-13,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,17.2,2.8
1942-10-14,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,16.1,0.6
1942-10-15,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,21.7,10.6
1942-10-16,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,17.2,7.8
1942-10-17,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,14.4,5.6
1942-10-18,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,12.8,5.0
1942-10-19,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,10.6,2.2
1942-10-20,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,7.8,0.6
1942-10-21,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,16.1,0.0
1942-10-22,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,19.4,10.6
1942-10-23,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,18.3,10.0
1942-10-24,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,12.8,5.0
1942-10-25,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,12.8,3.3
1942-10-26,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,8.9,6.7
1942-10-27,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,9.4,-0.6
1942-10-28,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,9.4,-3.3
1942-10-29,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,13.9,-3.3
1942-10-30,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,16.7,1.7
1942-10-31,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,19.4,8.9
1942-11-01,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,17.2,7.2
1942-11-02,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,10.6,-0.6
1942-11-03,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,8.3,0.6
1942-11-04,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,4.4,-2.2
1942-11-05,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,8.9,-5.0
1942-11-06,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,11.7,1.1
1942-11-07,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,10.6,1.1
1942-11-08,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,3.9,0.6
1942-11-09,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,7.8,-3.3
1942-11-10,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,13.9,-2.2
1942-11-11,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,12.8,0.0
1942-11-12,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,1.1,-3.9
1942-11-13,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,5.6,-5.6
1942-11-14,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.7,-8.9
1942-11-15,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,0.0,-11.1
1942-11-16,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,10.0,-4.4
1942-11-17,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,15.6,-2.2
1942-11-18,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,10.6,5.6
1942-11-19,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,10.0,1.1
1942-11-20,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,15.6,1.1
1942-11-21,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,15.0,-0.6
1942-11-22,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-0.6,-7.8
1942-11-23,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,1.1,-10.6
1942-11-24,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,0.6,-5.0
1942-11-25,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,6.1,0.6
1942-11-26,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,6.1,5.0
1942-11-27,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,5.0,-1.1
1942-11-28,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.1,-4.4
1942-11-29,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,1.1,-6.7
1942-11-30,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,3.3,-2.2
1942-12-01,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-0.6,-7.8
1942-12-02,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,8.3,-5.0
1942-12-03,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.8,-8.3
1942-12-04,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.8,-7.2
1942-12-05,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.1,-4.4
1942-12-06,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,0.6,-3.9
1942-12-07,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-0.6,-3.9
1942-12-08,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.7,-5.6
1942-12-09,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-3.9,-10.6
1942-12-10,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,1.7,-7.8
1942-12-11,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,3.9,-1.1
1942-12-12,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,2.2,-3.3
1942-12-13,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.8,-7.2
1942-12-14,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-5.6,-15.6
1942-12-15,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.8,-8.3
1942-12-16,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-5.0,-16.7
1942-12-17,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-11.1,-24.4
1942-12-18,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-8.9,-13.9
1942-12-19,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-11.7,-21.7
1942-12-20,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-19.4,-28.3
1942-12-21,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-13.3,-26.7
1942-12-22,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-3.9,-21.1
1942-12-23,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,0.6,-3.9
1942-12-24,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,0.0,-1.7
1942-12-25,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,3.9,-1.7
1942-12-26,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-0.6,-7.8
1942-12-27,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-5.6,-13.3
1942-12-28,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.7,-7.2
1942-12-29,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.8,-5.0
1942-12-30,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,0.6,-5.0
1942-12-31,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,1.7,-5.6
1943-01-01,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.2,-7.8
1943-01-02,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.2,-13.9
1943-01-03,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-3.9,-9.4
1943-01-04,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-7.2,-11.1
1943-01-05,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-10.6,-16.1
1943-01-06,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-8.3,-18.3
1943-01-07,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-6.7,-14.4
1943-01-08,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-6.7,-16.1
1943-01-09,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-6.7,-16.1
1943-01-10,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.2,-14.4
1943-01-11,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.1,-13.9
1943-01-12,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.1,-5.0
1943-01-13,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-5.0,-12.2
1943-01-14,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-4.4,-15.6
1943-01-15,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,2.8,-6.7
1943-01-16,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.7,-10.6
1943-01-17,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,1.1,-5.0
1943-01-18,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-3.3,-6.7
1943-01-19,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.1,-6.7
1943-01-20,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-5.0,-16.7
1943-01-21,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-13.9,-20.0
1943-01-22,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-12.2,-21.7
1943-01-23,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-4.4,-16.7
1943-01-24,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.2,-11.1
1943-01-25,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,5.0,-3.9
1943-01-26,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,5.0,-2.8
1943-01-27,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.8,-10.6
1943-01-28,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-7.2,-12.2
1943-01-29,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.8,-9.4
1943-01-30,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-6.7,-10.6
1943-01-31,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,1.1,-7.8
1943-02-01,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,1.7,-7.2
1943-02-02,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.8,-7.2
1943-02-03,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.1,-15.0
1943-02-04,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,2.8,-5.6
1943-02-05,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,3.9,-0.6
1943-02-06,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-0.6,-4.4
1943-02-07,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,0.6,-2.2
1943-02-08,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.2,-6.7
1943-02-09,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-4.4,-9.4
1943-02-10,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.8,-13.3
1943-02-11,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,3.9,-4.4
1943-02-12,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.7,-12.2
1943-02-13,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-5.6,-16.7
1943-02-14,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-4.4,-12.8
1943-02-15,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-12.8,-30.6
1943-02-16,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-11.7,-32.2
1943-02-17,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-6.1,-20.6
1943-02-18,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-6.7,-16.1
1943-02-19,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,0.6,-12.2
1943-02-20,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,10.6,-7.2
1943-02-21,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,8.3,2.2
1943-02-22,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,9.4,-3.9
1943-02-23,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,13.3,-1.1
1943-02-24,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,7.8,3.3
1943-02-25,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,3.9,-7.8
1943-02-26,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-6.1,-16.7
1943-02-27,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.7,-10.0
1943-02-28,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,3.9,-9.4
1943-03-01,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,1.7,-6.7
1943-03-02,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-2.8,-7.8
1943-03-03,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-6.1,-13.3
1943-03-04,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-9.4,-19.4
1943-03-05,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,2.2,-15.0
1943-03-06,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-3.3,-10.0
1943-03-07,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-1.7,-9.4
1943-03-08,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-6.1,-16.7
1943-03-09,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-6.1,-22.8
1943-03-10,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,5.0,-11.7
1943-03-11,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,6.7,3.3
1943-03-12,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,8.3,2.8
1943-03-13,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,3.3,-2.2
1943-03-14,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,7.2,-6.7
1943-03-15,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,9.4,-3.9
1943-03-16,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,2.8,-4.4
1943-03-17,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,2.2,-3.9
1943-03-18,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,11.7,-0.6
1943-03-19,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,7.8,-1.7
1943-03-20,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,6.1,-2.2
1943-03-21,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,3.9,-4.4
1943-03-22,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,2.2,-3.9
1943-03-23,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,0.6,-7.8
1943-03-24,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,6.1,-8.9
1943-03-25,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,9.4,3.9
1943-03-26,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,15.6,-1.7
1943-03-27,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,12.8,5.0
1943-03-28,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,5.0,-2.8
1943-03-29,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,0.6,-10.6
1943-03-30,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,-0.6,-7.8
1943-03-31,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,0.6,-2.2
1943-04-01,USC00273029,"FITZWILLIAM, NH US",42.78333,-72.15,415.1,10.6,-2.2
