DATE,STATION,LATITUDE,LONGITUDE,PRCP
2021-01-02,US1NYSR0039,42.96653,-73.777704,21.3
2021-01-03,US1NYSR0039,42.96653,-73.777704,3.0
2021-01-04,US1NYSR0039,42.96653,-73.777704,9.7
2021-01-05,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-06,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-07,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-08,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-09,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-10,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-11,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-12,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-13,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-14,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-15,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-16,US1NYSR0039,42.96653,-73.777704,6.4
2021-01-17,US1NYSR0039,42.96653,-73.777704,2.5
2021-01-18,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-19,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-20,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-21,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-22,US1NYSR0039,42.96653,-73.777704,1.0
2021-01-23,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-24,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-25,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-26,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-27,US1NYSR0039,42.96653,-73.777704,11.4
2021-01-28,US1NYSR0039,42.96653,-73.777704,0.3
2021-01-29,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-30,US1NYSR0039,42.96653,-73.777704,0.0
2021-01-31,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-01,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-02,US1NYSR0039,42.96653,-73.777704,10.4
2021-02-03,US1NYSR0039,42.96653,-73.777704,2.3
2021-02-04,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-05,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-06,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-07,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-08,US1NYSR0039,42.96653,-73.777704,3.8
2021-02-09,US1NYSR0039,42.96653,-73.777704,0.3
2021-02-10,US1NYSR0039,42.96653,-73.777704,4.1
2021-02-11,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-12,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-13,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-14,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-15,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-16,US1NYSR0039,42.96653,-73.777704,23.9
2021-02-17,US1NYSR0039,42.96653,-73.777704,1.3
2021-02-18,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-19,US1NYSR0039,42.96653,-73.777704,2.5
2021-02-20,US1NYSR0039,42.96653,-73.777704,1.0
2021-02-21,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-22,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-23,US1NYSR0039,42.96653,-73.777704,6.1
2021-02-24,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-25,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-26,US1NYSR0039,42.96653,-73.777704,0.0
2021-02-27,US1NYSR0039,42.96653,-73.777704,2.3
2021-02-28,US1NYSR0039,42.96653,-73.777704,0.3
2021-03-01,US1NYSR0039,42.96653,-73.777704,3.6
2021-03-02,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-03,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-04,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-05,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-06,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-07,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-08,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-09,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-10,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-11,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-12,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-13,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-14,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-15,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-16,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-17,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-18,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-19,US1NYSR0039,42.96653,-73.777704,9.7
2021-03-20,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-21,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-22,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-23,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-24,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-25,US1NYSR0039,42.96653,-73.777704,9.1
2021-03-26,US1NYSR0039,42.96653,-73.777704,1.3
2021-03-27,US1NYSR0039,42.96653,-73.777704,4.1
2021-03-28,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-29,US1NYSR0039,42.96653,-73.777704,13.0
2021-03-30,US1NYSR0039,42.96653,-73.777704,0.0
2021-03-31,US1NYSR0039,42.96653,-73.777704,0.0
2021-04-01,US1NYSR0039,42.96653,-73.777704,11.2
2021-04-02,US1NYSR0039,42.96653,-73.777704,11.4
2021-04-03,US1NYSR0039,42.96653,-73.777704,0.0
2021-04-04,US1NYSR0039,42.96653,-73.777704,0.0
2021-04-05,US1NYSR0039,42.96653,-73.777704,0.0
2021-04-06,US1NYSR0039,42.96653,-73.777704,0.0
2021-04-07,US1NYSR0039,42.96653,-73.777704,0.0
2021-04-08,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-11,US1NYSR0039,42.96653,-73.777704,
2021-05-12,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-13,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-14,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-15,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-16,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-17,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-18,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-19,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-20,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-21,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-22,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-23,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-24,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-25,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-26,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-27,US1NYSR0039,42.96653,-73.777704,1.5
2021-05-28,US1NYSR0039,42.96653,-73.777704,0.0
2021-05-29,US1NYSR0039,42.96653,-73.777704,22.1
2021-05-30,US1NYSR0039,42.96653,-73.777704,2.3
2021-05-31,US1NYSR0039,42.96653,-73.777704,12.4
2021-06-01,US1NYSR0039,42.96653,-73.777704,0.3
2021-06-02,US1NYSR0039,42.96653,-73.777704,2.0
2021-06-03,US1NYSR0039,42.96653,-73.777704,3.6
2021-06-04,US1NYSR0039,42.96653,-73.777704,11.7
2021-06-05,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-06,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-07,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-08,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-09,US1NYSR0039,42.96653,-73.777704,11.2
2021-06-10,US1NYSR0039,42.96653,-73.777704,8.6
2021-06-11,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-12,US1NYSR0039,42.96653,-73.777704,3.8
2021-06-13,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-14,US1NYSR0039,42.96653,-73.777704,20.6
2021-06-15,US1NYSR0039,42.96653,-73.777704,2.3
2021-06-16,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-17,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-18,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-19,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-20,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-21,US1NYSR0039,42.96653,-73.777704,0.3
2021-06-22,US1NYSR0039,42.96653,-73.777704,24.1
2021-06-23,US1NYSR0039,42.96653,-73.777704,8.4
2021-06-24,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-25,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-26,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-27,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-28,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-29,US1NYSR0039,42.96653,-73.777704,0.0
2021-06-30,US1NYSR0039,42.96653,-73.777704,2.0
2021-07-01,US1NYSR0039,42.96653,-73.777704,18.0
2021-07-02,US1NYSR0039,42.96653,-73.777704,36.3
2021-07-03,US1NYSR0039,42.96653,-73.777704,3.6
2021-07-04,US1NYSR0039,42.96653,-73.777704,8.6
2021-07-05,US1NYSR0039,42.96653,-73.777704,0.3
2021-07-06,US1NYSR0039,42.96653,-73.777704,1.8
2021-07-07,US1NYSR0039,42.96653,-73.777704,4.8
2021-07-08,US1NYSR0039,42.96653,-73.777704,12.2
2021-07-09,US1NYSR0039,42.96653,-73.777704,8.4
2021-07-10,US1NYSR0039,42.96653,-73.777704,2.3
2021-07-11,US1NYSR0039,42.96653,-73.777704,0.0
2021-07-12,US1NYSR0039,42.96653,-73.777704,33.8
2021-07-13,US1NYSR0039,42.96653,-73.777704,8.4
2021-07-14,US1NYSR0039,42.96653,-73.777704,0.8
2021-07-15,US1NYSR0039,42.96653,-73.777704,9.1
2021-07-16,US1NYSR0039,42.96653,-73.777704,0.0
2021-07-17,US1NYSR0039,42.96653,-73.777704,1.8
2021-07-18,US1NYSR0039,42.96653,-73.777704,13.2
2021-07-19,US1NYSR0039,42.96653,-73.777704,32.5
2021-07-20,US1NYSR0039,42.96653,-73.777704,0.3
2021-07-21,US1NYSR0039,42.96653,-73.777704,23.9
2021-07-22,US1NYSR0039,42.96653,-73.777704,0.8
2021-07-23,US1NYSR0039,42.96653,-73.777704,0.0
2021-07-24,US1NYSR0039,42.96653,-73.777704,0.0
2021-07-25,US1NYSR0039,42.96653,-73.777704,2.5
2021-07-26,US1NYSR0039,42.96653,-73.777704,4.8
2021-07-27,US1NYSR0039,42.96653,-73.777704,0.0
2021-07-28,US1NYSR0039,42.96653,-73.777704,1.5
2021-07-29,US1NYSR0039,42.96653,-73.777704,0.0
2021-07-30,US1NYSR0039,42.96653,-73.777704,23.9
2021-07-31,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-01,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-02,US1NYSR0039,42.96653,-73.777704,13.2
2021-08-03,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-04,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-05,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-06,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-07,US1NYSR0039,42.96653,-73.777704,0.5
2021-08-08,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-09,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-10,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-11,US1NYSR0039,42.96653,-73.777704,0.3
2021-08-12,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-13,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-14,US1NYSR0039,42.96653,-73.777704,7.1
2021-08-15,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-16,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-17,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-18,US1NYSR0039,42.96653,-73.777704,3.6
2021-08-19,US1NYSR0039,42.96653,-73.777704,13.0
2021-08-20,US1NYSR0039,42.96653,-73.777704,38.1
2021-08-21,US1NYSR0039,42.96653,-73.777704,0.5
2021-08-22,US1NYSR0039,42.96653,-73.777704,0.0
2021-08-23,US1NYSR0039,42.96653,-73.777704,5.6
2021-08-24,US1NYSR0039,42.96653,-73.777704,0.8
2021-08-25,US1NYSR0039,42.96653,-73.777704,0.0
